year,month,Region,Electric Vehicle (EV) Total
2024,2,"Okanogan, WA",10
2017,5,"Hawaii, HI",1
2018,12,"Portsmouth, VA",1
2017,11,"Norfolk, VA",2
2020,1,"Shelby, TN",1
2019,6,"Larimer, CO",1
2023,11,"Burlington, NJ",4
2023,11,"Denton, TX",1
2017,11,"St. Lucie, FL",1
2021,2,"Sevier, AR",1
2021,11,"Yakima, WA",439
2023,7,"Okanogan, WA",194
2021,4,"Pima, AZ",3
2019,12,"Monterey, CA",1
2020,11,"Garfield, WA",0
2017,3,"Cowlitz, WA",0
2018,5,"Nueces, TX",2
2023,9,"Monterey, CA",3
2023,3,"Skagit, WA",1405
2022,12,"Clark, WA",6944
2021,7,"Jefferson, NY",1
2018,9,"Sacramento, CA",1
2023,5,"Mason, WA",10
2021,10,"Solano, CA",1
2021,11,"Carroll, MD",1
2023,4,"Hamilton, OH",1
2022,9,"Cowlitz, WA",548
2017,8,"Virginia Beach, VA",3
2018,1,"Garfield, WA",1
2020,3,"Columbia, OR",1
2023,12,"Caddo, LA",2
2019,3,"Skamania, WA",0
2020,3,"Orange, CA",9
2018,12,"Tulsa, OK",2
2017,1,"Morris, NJ",1
2023,2,"Yellowstone, MT",1
2018,9,"Island, WA",0
2017,6,"Mason, WA",0
2024,2,"Bexar, TX",3
2020,6,"Cowlitz, WA",0
2020,3,"El Paso, TX",3
2021,12,"St. Clair, IL",1
2022,1,"Bartow, GA",1
2018,11,"Rogers, OK",1
2019,12,"Oldham, KY",1
2021,7,"San Juan, WA",582
2019,9,"Clark, NV",7
2021,5,"Adams, WA",0
2018,6,"DeKalb, GA",1
2020,12,"Columbia, WA",0
2024,2,"Marin, CA",2
2021,12,"Bartow, GA",1
2018,1,"Klickitat, WA",50
2023,10,"Whitman, WA",5
2018,9,"Middlesex, MA",1
2020,3,"Palm Beach, FL",3
2020,3,"Ferry, WA",8
2023,9,"Adams, WA",3
2020,11,"Suffolk, VA",1
2023,2,"Ray, MO",1
2023,3,"Newport News, VA",1
2019,4,"Chelan, WA",0
2021,10,"Honolulu, HI",8
2021,5,"Bexar, TX",6
2022,8,"Albemarle, VA",3
2022,11,"San Bernardino, CA",3
2022,5,"St. Mary's, MD",1
2020,2,"Lee, FL",1
2022,1,"Salt Lake, UT",2
2017,2,"Ferry, WA",0
2018,2,"Ferry, WA",0
2023,9,"Benton, WA",1877
2019,5,"Skagit, WA",492
2020,3,"Ada, ID",1
2023,2,"Prince William, VA",3
2022,5,"Tarrant, TX",2
2022,3,"Wake, NC",1
2019,9,"Stevens, WA",55
2022,12,"Douglas, WA",226
2023,2,"Garfield, WA",4
2017,1,"Whitman, WA",0
2022,9,"Norfolk, VA",6
2022,8,"Portsmouth, VA",1
2017,2,"Douglas, OR",1
2022,2,"Plaquemines, LA",1
2018,12,"Lumpkin, GA",1
2022,1,"El Paso, CO",3
2019,2,"Grant, WA",0
2018,11,"Ada, ID",2
2017,7,"Garfield, WA",0
2023,4,"Rock Island, IL",1
2017,8,"Skamania, WA",17
2017,10,"Lane, OR",1
2021,11,"Sonoma, CA",1
2023,6,"Island, WA",32
2023,1,"Whatcom, WA",37
2018,10,"St. Clair, IL",1
2022,11,"Middlesex, NJ",1
2017,3,"Los Angeles, CA",3
2020,8,"Whatcom, WA",3
2024,2,"Orange, FL",1
2018,3,"Columbia, WA",0
2017,8,"Hamilton, TN",1
2023,9,"Skagit, WA",27
2023,1,"Newport, RI",1
2022,3,"Collin, TX",3
2021,11,"Orange, CA",7
2022,5,"Bartow, GA",1
2019,5,"Fairfax, VA",6
2019,12,"Washington, OR",1
2023,6,"Alexandria, VA",4
2019,9,"Kent, MI",1
2021,6,"Spartanburg, SC",1
2019,1,"Williamson, TX",1
2023,2,"Pierce, WA",111
2022,12,"Riverside, CA",7
2023,10,"San Diego, CA",24
2019,4,"Montgomery, TX",2
2018,9,"San Diego, CA",10
2018,6,"El Paso, TX",1
2017,1,"Santa Fe, NM",1
2020,3,"Camden, NJ",2
2022,5,"Williamsburg, VA",1
2022,1,"Hennepin, MN",3
2020,12,"Nassau, FL",1
2021,4,"Benton, WA",871
2022,11,"Fairbanks North Star, AK",1
2017,5,"Kitsap, WA",1
2020,10,"Stevens, WA",75
2022,4,"Whitman, WA",139
2022,10,"Jefferson, NY",2
2023,2,"Camden, NJ",1
2019,9,"Valencia, NM",1
2021,12,"Jefferson, WA",0
2021,4,"Stevens, WA",0
2018,4,"San Juan, WA",194
2021,12,"Pend Oreille, WA",27
2017,6,"Alameda, CA",2
2020,11,"Orange, FL",1
2017,2,"Guilford, NC",1
2024,1,"Pinal, AZ",1
2022,4,"Philadelphia, PA",1
2018,11,"Camden, NJ",1
2018,11,"Garfield, OK",1
2017,12,"Kitsap, WA",1
2017,11,"Wahkiakum, WA",0
2024,2,"Wahkiakum, WA",4
2019,8,"Cumberland, NC",2
2020,6,"Gwinnett, GA",1
2023,7,"San Mateo, CA",2
2022,3,"Harris, TX",1
2018,5,"Juneau, AK",1
2019,6,"Collier, FL",1
2019,10,"Collier, FL",1
2021,8,"King, WA",6
2022,1,"Arlington, VA",1
2020,12,"Anne Arundel, MD",2
2021,12,"Plaquemines, LA",1
2020,11,"Okaloosa, FL",1
2022,12,"Santa Cruz, CA",1
2018,1,"Whatcom, WA",786
2022,7,"Montgomery, MD",6
2020,3,"Pacific, WA",0
2019,7,"Mason, WA",0
