year,month,Region,Electric Vehicle (EV) Total
2021,4,"Jefferson, NY",1
2023,6,"Douglas, WA",6
2019,2,"Brevard, FL",1
2017,8,"Pinal, AZ",2
2023,7,"Sacramento, CA",1
2018,10,"Sumter, FL",1
2021,4,"Chelan, WA",0
2022,5,"Lee, FL",1
2019,5,"Nassau, NY",3
2022,4,"Montgomery, TN",1
2019,7,"Lake, CA",1
2021,1,"Wahkiakum, WA",0
2019,9,"Collier, FL",1
2023,10,"Essex, NJ",2
2018,12,"Nantucket, MA",1
2023,2,"Kitsap, WA",4058
2024,1,"Skagit, WA",1845
2021,9,"Hillsborough, FL",2
2020,3,"San Juan, WA",0
2022,12,"Frederick, MD",1
2024,2,"Spotsylvania, VA",1
2021,11,"Fort Bend, TX",1
2020,2,"Thurston, WA",1833
2017,3,"Multnomah, OR",3
2023,6,"Monterey, CA",3
2018,3,"Manatee, FL",1
2023,3,"Calvert, MD",2
2023,3,"Autauga, AL",2
2022,4,"Owyhee, ID",1
2021,3,"Snohomish, WA",7309
2021,8,"Whitman, WA",115
2021,2,"Walla Walla, WA",0
2021,1,"Placer, CA",2
2023,4,"Klickitat, WA",8
2019,12,"Montgomery, AL",1
2022,1,"Clark, WA",2
2024,1,"Clallam, WA",996
2020,10,"Hawaii, HI",1
2020,3,"Lee, FL",1
2021,4,"Middlesex, MA",2
2022,2,"Salt Lake, UT",2
2022,7,"Salt Lake, UT",2
2020,11,"DeKalb, IN",1
2017,11,"Pacific, WA",0
2021,1,"San Juan, WA",490
2021,3,"District of Columbia, DC",3
2023,8,"Randolph, NC",1
2019,2,"Benton, WA",477
2023,11,"Grant, WA",508
2022,12,"Pacific, WA",154
2022,1,"Whatcom, WA",3
2017,1,"Lane, OR",1
2022,4,"Clackamas, OR",2
2021,3,"Williams, ND",1
2023,10,"Skagit, WA",1725
2023,9,"Clallam, WA",19
2021,5,"Kitsap, WA",0
2022,9,"Skagit, WA",1217
2020,11,"Skamania, WA",54
2023,10,"Rockdale, GA",1
2022,5,"Okanogan, WA",133
2020,6,"Prince William, VA",6
2021,8,"Riverside, CA",6
2022,6,"Montgomery, TX",1
2023,1,"Mercer, NJ",1
2018,2,"Pierce, WA",2144
2023,1,"Clallam, WA",766
2019,8,"Klickitat, WA",72
2021,2,"Pierce, WA",0
2022,8,"Whitman, WA",2
2019,9,"Cook, IL",1
2018,5,"Sedgwick, KS",1
2018,12,"Charleston, SC",1
2023,1,"Hennepin, MN",1
2019,12,"Tarrant, TX",3
2018,9,"Polk, FL",1
2019,5,"Franklin, WA",122
2020,11,"Island, WA",0
2020,3,"Asotin, WA",0
2018,4,"El Paso, CO",2
2022,9,"Parker, TX",1
2018,8,"Frederick, MD",1
2017,5,"Nantucket, MA",1
2023,5,"Columbia, WA",10
2018,11,"Washington, OR",1
2023,12,"Suffolk, VA",1
2023,11,"Clallam, WA",26
2019,8,"Montgomery, TX",1
2023,10,"Bexar, TX",4
2018,8,"Pend Oreille, WA",0
2017,4,"Norfolk, MA",1
2019,7,"Suffolk, MA",1
2021,12,"Whitman, WA",126
2022,4,"Island, WA",1144
2023,9,"Boulder, CO",2
2023,6,"Rockingham, NH",1
2022,12,"Tooele, UT",1
2022,8,"Harnett, NC",2
2018,6,"Columbia, WA",4
2024,1,"Sacramento, CA",2
2020,11,"Suffolk, MA",2
2019,5,"Pacific, WA",52
2018,11,"Bergen, NJ",1
2022,11,"Columbia, WA",0
2021,6,"Maricopa, AZ",12
2022,3,"Anchorage, AK",2
2022,2,"Fairbanks North Star, AK",1
2023,3,"Hamilton, OH",1
2019,11,"Spokane, WA",1100
2021,5,"Walla Walla, WA",0
2021,11,"Orange, NC",1
2021,11,"Deschutes, OR",2
2019,7,"Vigo, IN",1
2017,10,"Eagle, CO",1
2020,4,"Nassau, NY",4
2024,1,"Kern, CA",2
2019,7,"Maui, HI",2
2017,10,"Thurston, WA",0
2023,1,"Harnett, NC",2
2017,1,"Skagit, WA",1
2019,12,"Montgomery, TX",1
2020,10,"Randolph, NC",1
2020,10,"Montgomery, PA",1
2021,4,"Thurston, WA",2327
2019,11,"Okanogan, WA",57
2019,8,"San Diego, CA",14
2023,3,"Virginia Beach, VA",4
2023,10,"Ventura, CA",4
2018,10,"Dallas, TX",1
2018,5,"Santa Rosa, FL",1
2021,2,"DeKalb, IN",1
2020,3,"Powhatan, VA",1
2017,7,"Stevens, WA",0
2023,1,"Norfolk, VA",6
2021,4,"DeKalb, GA",1
2021,1,"Stafford, VA",3
2020,2,"Kern, CA",1
2017,7,"Polk, FL",1
2021,9,"Montgomery, TX",2
2023,2,"Norfolk, VA",6
2022,2,"Currituck, NC",1
2018,2,"Sangamon, IL",1
2019,2,"Lee, AL",1
2020,10,"Manassas, VA",1
2019,11,"Kitsap, WA",1839
2020,6,"Riverside, CA",4
2021,12,"Grays Harbor, WA",0
2017,12,"Hardin, KY",1
2022,1,"Burlington, NJ",1
2020,10,"Cascade, MT",1
2023,1,"Harris, TX",1
2020,11,"Twin Falls, ID",1
2017,4,"Manatee, FL",1
2020,2,"Fresno, CA",1
2019,1,"Allegheny, PA",1
2017,4,"Garfield, WA",0
2022,11,"Fulton, GA",1
2023,10,"Bartow, GA",1
2023,1,"Washington, OR",1
2019,4,"District of Columbia, DC",2
2023,9,"Jefferson, WA",12
2023,9,"Providence, RI",1
2020,8,"Pierce, WA",0
2017,6,"Albemarle, VA",1
2023,5,"Wahkiakum, WA",42
2017,7,"Kittitas, WA",0
2022,9,"Salt Lake, UT",2
2018,9,"King, WA",8
2017,4,"Collin, TX",1
2019,4,"Arlington, VA",3
2020,8,"Tarrant, TX",1
2018,6,"Orange, FL",3
2020,1,"Montgomery, OH",1
2019,2,"Tarrant, TX",2
2023,4,"Columbia, OR",1
2023,9,"Kittitas, WA",506
2023,7,"Lincoln, WA",39
2021,4,"Island, WA",0
2019,6,"Portsmouth, VA",1
2021,3,"Ferry, WA",0
2021,12,"Monterey, CA",3
2018,7,"Manassas, VA",1
2017,3,"Cowlitz, WA",99
2021,3,"Pend Oreille, WA",18
2021,6,"Lincoln, WA",18
2023,4,"Benton, WA",1638
2017,1,"Grays Harbor, WA",0
2023,3,"Charles, MD",2
2018,7,"Dale, AL",1
2017,8,"Volusia, FL",1
2018,11,"Chelan, WA",195
2022,1,"Yakima, WA",471
2019,2,"Pend Oreille, WA",10
2017,9,"Duval, FL",2
2020,9,"El Paso, CO",2
2023,12,"Contra Costa, CA",3
2019,9,"Sacramento, CA",1
2018,3,"Montgomery, TX",1
2017,6,"Volusia, FL",1
2020,4,"Spokane, WA",1183
2018,5,"Ramsey, MN",1
2022,9,"Solano, CA",2
2019,12,"Douglas, WA",105
2019,3,"Grays Harbor, WA",149
2020,12,"Charleston, SC",2
2022,6,"Montgomery, TN",1
2023,8,"Alameda, CA",5
2021,8,"Harrison, MS",2
2019,9,"Montgomery, PA",2
2023,9,"Rockingham, NH",1
2021,9,"Snohomish, WA",1
2019,1,"Klickitat, WA",0
2019,10,"Lincoln, WA",13
2017,7,"Palm Beach, FL",2
2019,8,"Snohomish, WA",0
2023,1,"Douglas, WA",228
2017,8,"Chelan, WA",0
2021,8,"Onslow, NC",1
2019,5,"Montgomery, TX",2
2022,5,"Pinellas, FL",1
2018,10,"Pacific, WA",42
2023,4,"Cowlitz, WA",8
2023,10,"Cook, IL",4
2022,11,"Napa, CA",1
2023,3,"Yellowstone, MT",1
2022,11,"Garfield, WA",0
2017,6,"Thurston, WA",0
2019,3,"Adams, WA",10
2022,7,"Walla Walla, WA",1
2020,7,"Skagit, WA",646
2019,8,"Skagit, WA",1
2023,5,"Adams, WA",2
2023,7,"Hardin, KY",1
2023,9,"Yolo, CA",1
2020,1,"Berkshire, MA",1
2023,6,"Harford, MD",2
2018,11,"Monterey, CA",1
2020,6,"Lake, IL",1
2023,10,"Pierce, WA",11984
2022,7,"Riverside, CA",8
2021,1,"Honolulu, HI",7
2020,2,"Santa Clara, CA",10
2020,11,"Arapahoe, CO",1
2021,4,"Orange, CA",7
2019,3,"Dakota, MN",2
2020,8,"Placer, CA",2
2023,2,"Williamsburg, VA",1
2018,7,"New Haven, CT",1
2019,3,"Penobscot, ME",1
2021,7,"Randolph, NC",1
2017,9,"Spokane, WA",505
2017,2,"Clark, WA",1129
2021,5,"Arapahoe, CO",1
2022,7,"Lake, IL",2
2023,7,"Harford, MD",2
2018,2,"Jefferson, WA",0
2022,10,"Clark, WA",31
2017,9,"King, WA",8
2020,6,"Portsmouth, VA",1
2020,12,"Whitman, WA",95
2019,11,"Whatcom, WA",2
2018,6,"Franklin, WA",105
2023,3,"Arapahoe, CO",2
2018,11,"Houston, GA",1
2022,9,"Ulster, NY",1
2023,11,"Collier, FL",1
2021,5,"Pennington, SD",1
2023,11,"Clark, WA",135
2017,10,"Asotin, WA",12
2022,7,"Portsmouth, VA",1
2024,1,"Ferry, WA",29
2020,1,"Douglas, NE",1
2020,6,"New London, CT",2
2018,3,"Franklin, MA",1
2022,6,"Danville, VA",1
2021,11,"Leavenworth, KS",1
2018,4,"Skamania, WA",0
2017,7,"Fulton, GA",1
2017,11,"Grays Harbor, WA",83
2020,3,"Stafford, VA",2
2021,10,"Baltimore, MD",1
2020,7,"Washoe, NV",1
2019,7,"Norfolk, MA",1
2023,1,"Middlesex, MA",3
2021,5,"Sumter, SC",1
2021,2,"Greene, MO",1
2018,10,"Lumpkin, GA",1
2023,3,"Kitsap, WA",4160
2019,1,"Alameda, CA",2
2019,1,"Lincoln, WA",7
2020,1,"Santa Clara, CA",10
2018,11,"Volusia, FL",1
2020,2,"Shelby, OH",1
2023,3,"Los Angeles, CA",10
2022,7,"Lewis, WA",424
2022,2,"Kings, CA",3
2023,2,"Lewis, WA",4
2018,6,"Lincoln, WA",8
2022,5,"Los Angeles, CA",14
2021,11,"Kittitas, WA",271
2018,3,"Island, WA",354
2022,11,"Salt Lake, UT",2
2023,10,"Moore, NC",1
2021,7,"Milwaukee, WI",1
2018,7,"Morris, NJ",1
2019,9,"Sumter, FL",1
2019,2,"Valencia, NM",1
2023,6,"Eagle, CO",1
2021,11,"Wilson, NC",1
2017,7,"Ferry, WA",0
2023,3,"Clallam, WA",784
2022,11,"Douglas, WA",220
2022,3,"Orange, CA",7
2017,12,"El Paso, CO",2
2020,1,"Virginia Beach, VA",1
2017,10,"Clay, FL",1
2018,9,"Whatcom, WA",2
2022,11,"Franklin, WA",363
2022,1,"Ferry, WA",17
2021,10,"Kitsap, WA",0
2020,6,"Lewis, WA",215
2017,8,"Tarrant, TX",1
2021,11,"Stafford, VA",3
2021,4,"Fairbanks North Star, AK",1
2017,10,"Wahkiakum, WA",2
2021,7,"Williamson, TX",2
2021,4,"Bartow, GA",1
2023,12,"Franklin, WA",9
2020,8,"Skamania, WA",0
2021,9,"Lewis, WA",336
2021,5,"Island, WA",909
2020,1,"Orange, CA",9
2020,3,"Dallas, TX",1
2022,7,"St. Louis, MO",2
2021,11,"Randolph, NC",1
2023,5,"Hawaii, HI",1
2023,6,"Franklin, WA",447
2019,11,"Alameda, CA",5
2020,9,"Montgomery, PA",1
2021,10,"Coryell, TX",1
2021,3,"Camden, NJ",1
2018,9,"Prince George's, MD",2
2023,5,"Eagle, CO",1
2023,3,"Spokane, WA",29
2018,9,"San Juan, WA",0
2022,12,"Honolulu, HI",7
2017,3,"Maui, HI",1
2018,8,"Jefferson, CO",1
2019,8,"Richland, SC",1
2024,2,"Whitman, WA",315
2019,12,"Kittitas, WA",136
2021,3,"Fresno, CA",1
2023,10,"Kauai, HI",1
2021,11,"Marion, IA",1
2021,3,"Howard, IN",1
2019,8,"Skagit, WA",519
2017,2,"Norfolk, VA",2
2020,7,"Garfield, WA",1
2023,3,"Pulaski, MO",2
2023,1,"Essex, MA",1
2023,11,"Sheridan, WY",1
2018,2,"Jefferson, WA",207
2017,10,"Anne Arundel, MD",1
2020,5,"Harnett, NC",1
2017,8,"Kent, MI",1
2023,9,"Carroll, MD",1
2024,2,"Pinal, AZ",1
2022,12,"Lee, AL",1
2023,2,"Jefferson, WA",9
2021,11,"Pima, AZ",2
2023,6,"Sedgwick, KS",1
2022,8,"Ray, MO",1
2017,7,"Benton, WA",303
2023,12,"Washoe, NV",1
2018,11,"Beaufort, SC",1
2022,10,"Frederick, MD",1
2017,7,"Orange, FL",2
2019,1,"King, WA",7
2019,3,"Pima, AZ",2
2020,5,"Klamath, OR",1
2021,10,"Henrico, VA",1
2021,3,"Sevier, AR",1
2020,11,"Lewis, WA",236
2022,8,"Asotin, WA",42
2023,9,"Yakima, WA",849
2020,6,"Moore, NC",2
2023,10,"Contra Costa, CA",3
2021,4,"Cumberland, NC",2
2019,11,"Mercer, NJ",1
2020,9,"Juneau, AK",1
2022,12,"Jefferson, WA",711
2020,4,"Ferry, WA",0
2021,2,"Rockingham, NH",1
2021,5,"Moore, NC",1
2022,10,"Harrison, MS",1
2019,4,"Penobscot, ME",1
2023,6,"Grays Harbor, WA",486
2019,9,"Pacific, WA",0
2024,1,"Franklin, WA",559
2020,5,"Whatcom, WA",1556
2018,5,"Tarrant, TX",1
2024,1,"Oldham, KY",1
2018,4,"Flathead, MT",1
2018,8,"DuPage, IL",1
2021,3,"Leavenworth, KS",1
2018,11,"Williamson, TX",1
2017,9,"Pierce, WA",1910
2017,12,"Montgomery, TN",1
2017,4,"Yakima, WA",0
2018,5,"Lane, OR",1
2022,11,"Honolulu, HI",7
2018,11,"Polk, FL",1
2020,12,"Hudson, NJ",1
2017,12,"Okanogan, WA",25
2018,12,"Wahkiakum, WA",2
2021,8,"Geary, KS",1
2020,11,"Cascade, MT",1
2022,5,"Virginia Beach, VA",2
2022,8,"Orange, FL",2
2019,1,"Montgomery, AL",1
2022,4,"Montgomery, AL",1
2021,11,"Eagle, CO",1
2022,9,"Gwinnett, GA",1
2017,5,"Santa Fe, NM",1
2017,2,"Whatcom, WA",2
2020,11,"Grant, WA",157
2022,1,"Grays Harbor, WA",355
2024,1,"Montgomery, TN",1
2020,4,"Kootenai, ID",1
2020,4,"Asotin, WA",28
2021,2,"DeKalb, GA",1
2019,4,"Camden, NJ",1
2023,10,"Collier, FL",1
2019,4,"Cowlitz, WA",0
2022,2,"Lincoln, WA",0
2019,4,"San Diego, CA",13
2019,11,"Franklin, WA",128
2019,4,"Ventura, CA",2
2019,8,"Spartanburg, SC",1
2021,3,"Philadelphia, PA",1
2019,9,"Grant, WA",0
2023,6,"El Paso, CO",3
2022,12,"Franklin, WA",4
2020,5,"Ferry, WA",0
2021,10,"Albemarle, VA",2
2023,10,"San Mateo, CA",2
2021,12,"Maui, HI",1
2017,2,"Cowlitz, WA",0
2022,1,"Kitsap, WA",0
2018,5,"Columbia, WA",3
2019,7,"Los Angeles, CA",11
2020,11,"Platte, MO",1
2022,8,"Adams, WA",30
2022,4,"Grant, WA",0
2021,4,"Fort Bend, TX",1
2023,3,"Coryell, TX",1
2023,9,"Currituck, NC",1
2018,9,"Monroe, IL",1
2019,2,"Kitsap, WA",1558
2020,10,"Riverside, CA",5
2023,7,"Yolo, CA",1
2017,7,"Grant, WA",49
2018,4,"Maricopa, AZ",4
2022,11,"Ferry, WA",28
2019,12,"Anne Arundel, MD",2
2021,5,"Milwaukee, WI",1
2021,12,"Sarpy, NE",1
2023,11,"Chelan, WA",39
2023,7,"Harris, TX",3
2020,7,"Placer, CA",2
2024,1,"Onslow, NC",1
2019,8,"Howard, MD",1
2020,2,"Suffolk, MA",1
2023,7,"Mercer, NJ",1
2018,7,"Adams, WA",0
2020,5,"Palm Beach, FL",2
2018,10,"Madison, ID",1
2022,12,"Pulaski, AR",3
2023,12,"Adams, WA",43
2017,9,"Walla Walla, WA",55
2017,3,"Anne Arundel, MD",1
2021,7,"El Paso, CO",3
2023,11,"Jefferson, NY",3
2021,1,"Mercer, NJ",1
2017,7,"Eagle, CO",1
2019,1,"Oldham, KY",1
2019,12,"Kitsap, WA",1
2023,1,"Pierce, WA",97
2022,3,"King, WA",26
2023,4,"Thurston, WA",4110
2023,5,"Hennepin, MN",1
2019,10,"Asotin, WA",20
2022,12,"Wahkiakum, WA",39
2023,8,"Wahkiakum, WA",44
2022,3,"Columbia, WA",6
2017,8,"Sacramento, CA",2
2018,4,"Riverside, CA",4
2018,8,"Prince George's, MD",2
2020,7,"Hamilton, IN",1
2018,6,"Nantucket, MA",1
2023,2,"Pend Oreille, WA",39
2018,12,"Alameda, CA",2
2020,1,"Okanogan, WA",0
2020,2,"Prince William, VA",6
2021,3,"Dallas, TX",1
2020,6,"Penobscot, ME",1
2017,7,"Columbia, WA",0
2020,6,"Pend Oreille, WA",13
2023,4,"Chelan, WA",757
2021,12,"Stafford, VA",3
2017,6,"Okaloosa, FL",1
2022,3,"Camden, NJ",1
2023,11,"Plaquemines, LA",2
2019,10,"Franklin, MA",1
2021,5,"Jefferson, WA",0
2019,1,"Sumter, FL",1
2020,8,"El Paso, CO",2
2023,8,"Los Angeles, CA",10
2021,6,"Kitsap, WA",0
2021,12,"Salt Lake, UT",2
2021,8,"Polk, FL",1
2017,1,"Thurston, WA",635
2019,4,"Richland, SC",1
2019,10,"Klamath, OR",1
2024,1,"Pulaski, AR",2
2017,11,"Lewis, WA",0
2019,7,"Charles, MD",1
2023,1,"Broward, FL",1
2018,2,"Sacramento, CA",2
2023,2,"Wahkiakum, WA",1
2022,7,"Grays Harbor, WA",376
2019,2,"Jefferson, NY",2
2017,11,"Brevard, FL",1
2022,3,"El Paso, CO",4
2022,2,"Kitsap, WA",3207
2017,8,"Arlington, VA",3
2022,3,"Montgomery, PA",2
2017,2,"Collier, FL",1
2023,6,"Fulton, GA",1
2023,11,"Clark, WA",9516
2020,8,"Thurston, WA",1945
2017,9,"Richland, SC",1
2022,8,"Yakima, WA",1
2020,10,"Santa Clara, CA",8
2023,5,"Kern, CA",2
2017,9,"Prince William, VA",4
2020,9,"New London, CT",2
2023,10,"Anchorage, AK",1
2023,10,"Pierce, WA",195
2023,4,"Jefferson, WA",10
2023,11,"Island, WA",39
2018,11,"Lewis, WA",162
2019,7,"Montgomery, AL",1
2018,9,"Klamath, OR",1
2023,3,"Sacramento, CA",1
2019,1,"Pima, AZ",2
2021,2,"Suffolk, VA",1
2020,2,"Albemarle, VA",1
2024,2,"Williamsburg, VA",1
2021,1,"Spokane, WA",1460
2020,4,"Chelan, WA",304
2017,1,"Adams, WA",0
2021,2,"Los Angeles, CA",19
2023,2,"Sacramento, CA",1
2019,12,"Richland, SC",1
2023,5,"Chelan, WA",778
2017,5,"Stevens, WA",0
2022,6,"Prince George's, MD",4
2020,11,"Washtenaw, MI",2
2021,8,"New London, CT",3
2020,4,"Houston, GA",1
2021,11,"Philadelphia, PA",1
2021,5,"Clark, WA",0
2017,6,"Okanogan, WA",0
2021,2,"Harris, TX",2
2020,6,"Brevard, FL",1
2018,3,"Alameda, CA",1
2021,12,"Essex, NJ",2
2022,7,"Randolph, NC",1
2022,9,"Asotin, WA",44
2023,8,"Skamania, WA",1
2019,4,"Alexandria, VA",1
2022,6,"Harrison, MS",1
2024,2,"Collin, TX",2
2022,11,"Stevens, WA",143
2023,1,"Kittitas, WA",5
2018,6,"Fulton, GA",2
2021,1,"Flathead, MT",1
2021,6,"Milwaukee, WI",1
2021,3,"St. Mary's, MD",1
2022,2,"Geary, KS",1
2023,11,"Klickitat, WA",14
2017,9,"Whatcom, WA",2
2018,6,"Klickitat, WA",0
2023,6,"Lane, OR",2
2020,7,"Camden, NJ",1
2019,9,"King, WA",27700
2021,4,"Utah, UT",1
2018,6,"Jefferson, WA",0
2017,1,"Dane, WI",1
2017,5,"Franklin, MA",1
2018,6,"Moore, NC",1
2019,12,"Houston, GA",1
2023,3,"Madison, IL",2
2024,2,"Clark, WA",10145
2017,6,"Cowlitz, WA",110
2017,9,"Jefferson, WA",179
2017,8,"Benton, WA",0
2023,9,"Whatcom, WA",67
2017,1,"Montgomery, MD",1
2021,11,"Arlington, VA",2
2017,6,"Fulton, GA",1
2020,12,"Whatcom, WA",1768
2024,2,"Lake, IL",6
2021,9,"Harris, TX",2
2022,9,"Polk, OR",1
2020,9,"Morris, NJ",1
2021,8,"Plaquemines, LA",1
2020,1,"King, WA",7
2019,1,"Walla Walla, WA",0
2021,8,"Klamath, OR",1
2021,9,"New London, CT",4
2021,5,"Lane, OR",2
2023,8,"Kitsap, WA",4822
2023,10,"Ferry, WA",0
2017,6,"Travis, TX",2
2019,6,"Dallas, TX",1
2023,5,"Dorchester, SC",1
2021,9,"Houston, GA",1
2022,3,"El Paso, TX",3
2021,11,"Geary, KS",1
2021,4,"Clackamas, OR",2
2017,10,"Kent, MI",1
2021,4,"Clark, WA",0
2021,2,"Benton, WA",0
2021,7,"Skagit, WA",1
2021,11,"Charles, MD",2
2019,11,"Nueces, TX",2
2018,10,"Randolph, NC",1
2024,2,"Franklin, WA",566
2021,9,"Skamania, WA",92
2021,6,"Douglas, CO",1
2017,10,"Tulare, CA",1
2021,12,"Newport, RI",1
2017,7,"Skamania, WA",16
2020,1,"Placer, CA",1
2020,1,"Harnett, NC",2
2024,1,"Monterey, CA",1
2023,2,"Madison, IL",2
2020,1,"Bexar, TX",6
2020,1,"Prince George's, MD",2
2017,6,"Bergen, NJ",2
2021,12,"Williamson, TX",3
2018,7,"Hawaii, HI",1
2024,2,"Yakima, WA",972
2021,6,"Henrico, VA",1
2023,10,"Hawaii, HI",1
2018,6,"King, WA",18842
2022,10,"Yakima, WA",609
2018,3,"Chelan, WA",0
2017,7,"Walla Walla, WA",0
2023,6,"San Mateo, CA",2
2017,9,"Norfolk, MA",1
2017,7,"Sedgwick, KS",1
2021,11,"Lake, IL",3
2017,3,"Prince George's, MD",1
2021,1,"Collier, FL",1
2020,4,"Shelby, OH",1
2018,7,"Sedgwick, KS",1
2019,7,"Dakota, MN",1
2019,4,"Asotin, WA",0
2017,6,"Nantucket, MA",1
2023,3,"Washoe, NV",1
2020,3,"Solano, CA",1
2018,5,"Latah, ID",1
2019,4,"Berkshire, MA",1
2018,6,"Montgomery, PA",2
2019,12,"Carroll, NH",1
2022,5,"Las Animas, CO",1
2022,1,"Prince George's, MD",3
2022,5,"Allegheny, PA",2
2020,9,"Broward, FL",2
2024,2,"Autauga, AL",3
2023,11,"Beaufort, SC",1
2023,4,"Kitsap, WA",63
2024,2,"Grant, WA",18
2022,4,"Lake, IL",3
2018,11,"Gwinnett, GA",1
2019,9,"Collin, TX",3
2021,10,"Santa Cruz, CA",1
2018,5,"Orleans, LA",1
2018,3,"Caddo, LA",1
2019,9,"Spokane, WA",1
2017,6,"Lewis, WA",0
2021,7,"Mason, WA",0
2017,9,"Okaloosa, FL",1
2020,5,"Travis, TX",4
2023,10,"Yolo, CA",1
2021,10,"Boone, MO",1
2022,10,"San Diego, CA",27
2021,4,"Missoula, MT",1
2019,10,"Pend Oreille, WA",0
2022,1,"Wilson, NC",1
2020,2,"Snohomish, WA",6029
2019,1,"Grays Harbor, WA",143
2024,2,"Lewis, WA",723
2021,10,"Lincoln, WA",0
2020,12,"Adams, WA",17
2021,12,"Pierce, WA",0
2018,9,"Larimer, CO",1
2018,11,"Jefferson, WA",0
2022,12,"Arlington, VA",1
2022,9,"Placer, CA",2
2023,3,"Montgomery, PA",1
2022,9,"Stevens, WA",137
2018,5,"Clark, WA",1659
2021,11,"Skamania, WA",97
2019,11,"San Juan, WA",0
2018,5,"Cook, IL",1
2023,5,"El Paso, CO",3
2019,1,"Montgomery, PA",2
2023,12,"Orange, CA",1
2017,1,"Bexar, TX",6
2020,4,"Chelan, WA",0
2020,2,"Klamath, OR",1
2018,6,"Grays Harbor, WA",110
2020,7,"San Juan, WA",405
2017,5,"Tulare, CA",1
2020,6,"Orange, CA",9
2020,12,"Washington, OR",1
2018,10,"Pend Oreille, WA",0
2024,1,"Burlington, NJ",2
2022,5,"Skagit, WA",2
2020,2,"Chelan, WA",0
2020,5,"Kent, MI",1
2017,6,"Skagit, WA",243
2023,6,"Stafford, VA",4
2018,6,"Kittitas, WA",0
2022,5,"Lincoln, WA",0
2017,3,"Adams, WA",0
2022,9,"Lake, FL",1
2023,3,"Tooele, UT",1
2021,4,"Lewis, WA",283
2023,10,"Harford, MD",2
2018,10,"Kittitas, WA",93
2018,7,"Orange, CA",5
2022,10,"San Juan, WA",713
2017,2,"Fairfax, VA",5
2017,4,"Middlesex, MA",1
2023,8,"Leavenworth, KS",1
2022,6,"Geary, KS",1
2022,11,"Howard, MD",2
2017,11,"Chelan, WA",119
2018,5,"Pacific, WA",35
2021,9,"Yamhill, OR",1
2020,1,"Klickitat, WA",0
2021,7,"Skagit, WA",889
2017,3,"Benton, WA",279
2021,1,"Pend Oreille, WA",15
2017,7,"Dale, AL",1
2017,3,"Jefferson, NY",2
2017,2,"Bergen, NJ",2
2022,6,"Boone, MO",1
2021,3,"Larimer, CO",1
2017,1,"Whatcom, WA",524
2021,9,"Whitman, WA",120
2022,5,"Klickitat, WA",1
2023,7,"Contra Costa, CA",4
2021,11,"Camden, NJ",1
2017,5,"Skagit, WA",1
2022,9,"Garfield, WA",4
2022,6,"Yavapai, AZ",1
2023,1,"Washington, MD",2
2021,1,"Goochland, VA",7
2022,2,"Gwinnett, GA",1
2021,8,"Denton, TX",1
2022,11,"Asotin, WA",0
2022,12,"Lake, IL",1
2018,11,"Douglas, NE",1
2023,5,"Columbia, WA",0
2018,5,"Clallam, WA",0
2017,8,"Norfolk, VA",2
2019,6,"Grant, WA",0
2019,8,"Shasta, CA",1
2023,8,"Beaufort, SC",1
2024,1,"Collier, FL",1
2023,5,"Clark, WA",90
2022,6,"Pend Oreille, WA",28
2019,3,"Alameda, CA",4
2022,2,"Camden, NJ",1
2022,11,"Louisa, VA",1
2019,9,"El Paso, CO",3
2021,1,"Stevens, WA",0
2017,5,"Charles, MD",1
2019,7,"Clark, WA",2533
2023,4,"San Juan, WA",12
2018,3,"Whitman, WA",41
2023,12,"Yolo, CA",1
2018,8,"Thurston, WA",0
2018,5,"Portsmouth, VA",1
2022,7,"Snohomish, WA",27
2021,9,"Douglas, NE",2
2018,7,"Hennepin, MN",1
2023,2,"Newport News, VA",1
2017,10,"Island, WA",0
2018,10,"Franklin, WA",0
2023,5,"Contra Costa, CA",4
2017,5,"Island, WA",0
2023,7,"Los Angeles, CA",10
2023,8,"Orange, CA",1
2018,8,"King, WA",8
2018,10,"Kittitas, WA",0
2021,7,"Kittitas, WA",0
2023,8,"Larimer, CO",1
2024,1,"Monterey, CA",4
2020,12,"Multnomah, OR",9
2020,5,"Norfolk, VA",4
2018,6,"Palm Beach, FL",2
2023,12,"Parker, TX",1
2023,8,"Lewis, WA",597
2017,9,"Chelan, WA",0
2022,10,"Franklin, WA",2
2017,8,"Moore, NC",1
2019,1,"Saratoga, NY",1
2020,12,"Twin Falls, ID",1
2019,7,"Spokane, WA",1
2017,6,"Adams, WA",0
2020,1,"Duval, FL",3
2021,11,"Currituck, NC",1
2023,11,"Lane, OR",2
2023,9,"Prince George's, MD",4
2019,2,"St. Lucie, FL",1
2021,3,"Monterey, CA",2
2020,4,"Jefferson, WA",0
2024,1,"Boulder, CO",1
2020,5,"Jones, GA",1
2020,6,"Douglas, WA",111
2022,1,"Whitman, WA",0
2019,11,"Ferry, WA",0
2019,11,"Henrico, VA",1
2022,6,"Suffolk, VA",1
2018,9,"Pima, AZ",2
2023,11,"Prince George's, MD",4
2023,1,"Yuba, CA",1
2022,4,"Clark, WA",5554
2022,5,"Pend Oreille, WA",27
2020,5,"Cowlitz, WA",0
2020,12,"District of Columbia, DC",3
2021,11,"Rockdale, GA",1
2017,7,"Sumter, FL",1
2023,2,"Wilson, TX",1
2018,11,"DeKalb, GA",1
2018,12,"Washington, OR",1
2023,2,"Parker, TX",1
